"Group","Setting"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/DefaultPowerSchemeValues/PerfIncreaseThreshold/DcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/HibernateTimeout/AcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/HibernateTimeout/DcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/HybridSleep/AcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/HybridSleep/DcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c/Setting/HybridSleep/AcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c/Setting/HybridSleep/DcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/a1841308-3541-4fab-bc81-f71556f20b4a/Setting/HibernateTimeout/AcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/a1841308-3541-4fab-bc81-f71556f20b4a/Setting/HibernateTimeout/DcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/a1841308-3541-4fab-bc81-f71556f20b4a/Setting/HybridSleep/AcValue"
"knobs","Power/Policy/Settings/Sleep/SchemePersonality/a1841308-3541-4fab-bc81-f71556f20b4a/Setting/HybridSleep/DcValue"
"LanmanWorkstation","EnableInsecureGuestLogons"
"LocalPoliciesSecurityOptions","DomainMember_DigitallyEncryptOrSignSecureChannelDataAlways"
"LocalPoliciesSecurityOptions","DomainMember_DigitallyEncryptSecureChannelDataWhenPossible"
"LocalPoliciesSecurityOptions","DomainMember_DisableMachineAccountPasswordChanges"
"LocalPoliciesSecurityOptions","InteractiveLogon_SmartCardRemovalBehavior"
"LocalPoliciesSecurityOptions","MicrosoftNetworkClient_DigitallySignCommunicationsIfServerAgrees"
"LocalPoliciesSecurityOptions","MicrosoftNetworkClient_SendUnencryptedPasswordToThirdPartySMBServers"
"LocalPoliciesSecurityOptions","MicrosoftNetworkServer_AmountOfIdleTimeRequiredBeforeSuspendingSession"
"LocalPoliciesSecurityOptions","MicrosoftNetworkServer_DigitallySignCommunicationsAlways"
"LocalPoliciesSecurityOptions","MicrosoftNetworkServer_DigitallySignCommunicationsIfClientAgrees"
"LocalPoliciesSecurityOptions","NetworkAccess_DoNotAllowAnonymousEnumerationOfSAMAccounts"
"LocalPoliciesSecurityOptions","NetworkAccess_DoNotAllowAnonymousEnumerationOfSamAccountsAndShares"
"LocalPoliciesSecurityOptions","NetworkAccess_RestrictAnonymousAccessToNamedPipesAndShares"
"LocalPoliciesSecurityOptions","NetworkSecurity_DoNotStoreLANManagerHashValueOnNextPasswordChange"
"LocalPoliciesSecurityOptions","NetworkSecurity_LANManagerAuthenticationLevel"
"LocalPoliciesSecurityOptions","NetworkSecurity_MinimumSessionSecurityForNTLMSSPBasedServers"
"LocalPoliciesSecurityOptions","NetworkSecurity_RestrictNTLM_AddRemoteServerExceptionsForNTLMAuthentication"
"LocalPoliciesSecurityOptions","NetworkSecurity_RestrictNTLM_AuditIncomingNTLMTraffic"
"LocalPoliciesSecurityOptions","NetworkSecurity_RestrictNTLM_IncomingNTLMTraffic"
"LocalPoliciesSecurityOptions","NetworkSecurity_RestrictNTLM_OutgoingNTLMTrafficToRemoteServers"
"MSSecurityGuide","ApplyUACRestrictionsToLocalAccountsOnNetworkLogon"
"MSSecurityGuide","ConfigureSMBV1ClientDriver"
"MSSecurityGuide","ConfigureSMBV1Server"
"MSSecurityGuide","EnableStructuredExceptionHandlingOverwriteProtection"
"MSSecurityGuide","TurnOnWindowsDefenderProtectionAgainstPotentiallyUnwantedApplications"
"MSSecurityGuide","WDigestAuthentication"
"MSSLegacy","AllowICMPRedirectsToOverrideOSPFGeneratedRoutes"
"MSSLegacy","AllowTheComputerToIgnoreNetBIOSNameReleaseRequestsExceptFromWINSServers"
"MSSLegacy","IPSourceRoutingProtectionLevel"
"MSSLegacy","IPv6SourceRoutingProtectionLevel"
"Notifications","DisallowCloudNotification"
"Notifications","DisallowTileNotification"
"Power","AllowStandbyStatesWhenSleepingOnBattery"
"Privacy","LetAppsAccessGazeInput"
"Privacy","LetAppsAccessGazeInput_ForceAllowTheseApps"
"Privacy","LetAppsAccessGazeInput_ForceDenyTheseApps"
"Privacy","LetAppsAccessGazeInput_UserInControlOfTheseApps"
"Privacy","UploadUserActivities"
"RestrictedGroups","ConfigureGroupMembership"
"Search","AllowCortanaInAAD"
"Search","DoNotUseWebResults"
"Security","ConfigureWindowsPasswords"
"Start","DisableContextMenus"
"System","ConfigureTelemetryOptInChangeNotification"
"System","ConfigureTelemetryOptInSettingsUx"
"SystemServices","ConfigureHomeGroupListenerServiceStartupMode"
"SystemServices","ConfigureHomeGroupProviderServiceStartupMode"
"SystemServices","ConfigureXboxAccessoryManagementServiceStartupMode"
"SystemServices","ConfigureXboxLiveAuthManagerServiceStartupMode"
"SystemServices","ConfigureXboxLiveGameSaveServiceStartupMode"
"SystemServices","ConfigureXboxLiveNetworkingServiceStartupMode"
"TaskScheduler","EnableXboxGameSaveTask"
"TextInput","AllowHardwareKeyboardTextSuggestions"
"TextInput","AllowLinguisticDataCollection"
"TextInput","EnableTouchKeyboardAutoInvokeInDesktopMode"
"TextInput","ForceTouchKeyboardDockedState"
"TextInput","TouchKeyboardDictationButtonAvailability"
"TextInput","TouchKeyboardEmojiButtonAvailability"
"TextInput","TouchKeyboardFullModeAvailability"
"TextInput","TouchKeyboardHandwritingModeAvailability"
"TextInput","TouchKeyboardNarrowModeAvailability"
"TextInput","TouchKeyboardSplitModeAvailability"
"TextInput","TouchKeyboardWideModeAvailability"
"Update","ConfigureFeatureUpdateUninstallPeriod"
"UserRights","AccessCredentialManagerAsTrustedCaller"
"UserRights","AccessFromNetwork"
"UserRights","ActAsPartOfTheOperatingSystem"
"UserRights","AllowLocalLogOn"
"UserRights","BackupFilesAndDirectories"
"UserRights","ChangeSystemTime"
"UserRights","CreateGlobalObjects"
"UserRights","CreatePageFile"
"UserRights","CreatePermanentSharedObjects"
"UserRights","CreateSymbolicLinks"
"UserRights","CreateToken"
"UserRights","DebugPrograms"
"UserRights","DenyAccessFromNetwork"
"UserRights","DenyLocalLogOn"
"UserRights","DenyRemoteDesktopServicesLogOn"
"UserRights","EnableDelegation"
"UserRights","GenerateSecurityAudits"
"UserRights","ImpersonateClient"
"UserRights","IncreaseSchedulingPriority"
"UserRights","LoadUnloadDeviceDrivers"
"UserRights","LockMemory"
"UserRights","ManageAuditingAndSecurityLog"
"UserRights","ManageVolume"
"UserRights","ModifyFirmwareEnvironment"
"UserRights","ModifyObjectLabel"
"UserRights","ProfileSingleProcess"
"UserRights","RemoteShutdown"
"UserRights","RestoreFilesAndDirectories"
"UserRights","TakeOwnership"
"WindowsConnectionManager","ProhitConnectionToNonDomainNetworksWhenConnectedToDomainAuthenticatedNetwork"
"WindowsDefenderSecurityCenter","DisableAccountProtectionUI"
"WindowsDefenderSecurityCenter","DisableDeviceSecurityUI"
"WindowsDefenderSecurityCenter","HideRansomwareDataRecovery"
"WindowsDefenderSecurityCenter","HideSecureBoot"
"WindowsDefenderSecurityCenter","HideTPMTroubleshooting"
"WindowsLogon","EnumerateLocalUsersOnDomainJoinedComputers"
"WindowsLogon","SignInLastInteractiveUserAutomaticallyAfterASystemInitiatedRestart"
"WindowsPowerShell","TurnOnPowerShellScriptBlockLogging"
